Name,Review Count,Average Rating,Latitude,Longitude
The Gate House Cottage at Castle on the Mountain,3,5,50.32235,-119.16497
AWARD-WINNING LUXURY HERITAGE RESIDENCE NEAR DEER LAKE,20,5,49.23602,-122.96054
Cedar Shack Cottage with private Hot Tub - Steps to Chesterman Beach,58,5,49.113632,-125.88786
Cassiar Cannery ~ where history and nature meet~,56,5,54.178745,-130.17975
2 bedroom suite located between Victoria & Sidney,19,5,48.60293,-123.41113
" Luxury downtown condo, steps to Inner Harbor!!! ",19,5,48.42096,-123.36286
Mini Resort mins to beach and downtown Peachland,22,5,49.79765,-119.70941
"Waterfront suite--kit, balcony--12-acre hobbyfarm",7,5,49.544155,-124.86569
Coles Lake Lodge- Fly In-Remote Wilderness Getaway,1,5,53.47473,-127.272125
Tesla Lake Lodge- Wilderness Getaway,4,5,53.13768,-126.65463
The Cottage at Secret Cove Treehouse,21,5,49.5234,-123.94494
"Beachside Ocean Vista Suite, HotTub, Ocean Views",6,5,49.454025,-123.73458
Tranquil Malahat Waterfront Retreat Awaits You,15,5,48.52018,-123.54333
"Blitz Beach House Oceanfront Retreat, North of Powell River near Lund, BC,CAN.",22,5,49.932636,-124.684654
"Custom Crafted Log Chalet near Fernie, B.C. (Bolter Family Farm & Chalet)",2,5,49.286385,-115.26597
"Blue Waters Cottage - Romantic, Hot Tub, Ocean View!",44,5,49.461456,-123.73764
 Armand Heights Bed and Breakfast  Sky Suite,3,5,48.808514,-123.49709
Salish Sea Beach House BnB,20,5,48.63424,-123.40712
Historic Stays in Wells,1,5,53.102455,-121.56773
"MYRTLE SUITE - MOUNTAIN VIEW; CENTRAL, LOVELY AREA",23,5,49.29047,-123.053314
Ski In / Ski Out cabin / house from $200 Burfield,2,5,50.87774,-119.91015
The Suites at Secret Cove Treehouse ,17,5,49.5234,-123.94494
Private Lakeview Suite in Garden,5,5,49.38718,-119.58992
Tofino Surf Shack Cabin with Private Hot Tub - Steps to Chesterman Beach,26,5,49.11385,-125.887695
Red Roof Inn Cottage,9,5,49.67396,-124.89771
La Petite Suite - Lower Mission Comforts of Home!,11,5,49.82754,-119.483505
sunshinecoast water front vacation rental. 5 bedrooms. Two floors,1,5,49.542854,-123.75206
Charming Cozy Cottage,6,5,49.43051,-123.668915
Mossy Hill Suite,5,5,48.836308,-123.49581
Loghouse at Halfmoon Bay,2,5,49.511646,-123.910904
"The Yacht House, Tofino B.C.",1,5,49.12225,-125.89453
Lake Errock B&B,6,5,49.229145,-122.01334
The Grateful Bed & Breakfast,2,5,53.929756,-122.80184
"UltimateBnB-5 Star Luxury Suite, Ocean, Mtn. & City Views, & Hot-Tub!",15,5,48.41717,-123.480286
"Mountain View, 2 Bedroom, 2 Bath plus Den ",2,5,49.84599,-119.48672
Deluxe Romantic Couples Cottage With Ocean Views,4,5,49.50614,-123.90753
Relax at Trincomali Ocean View Studio,4,5,48.89047,-123.50709
Secure Executive 1 Bedroom/Den Close to Sea Bus,3,5,49.313293,-123.08215
Architect Designed and Decorated Waterfront House,4,5,48.365025,-123.63385
Furnished 2 Bedroom Modern Suite,1,5,49.32493,-123.06494
Executive 2 Bedroom Condo North vancouver,2,5,49.313293,-123.08215
Victoria Area Oceanfront studio,5,5,48.38785,-123.503975
Stewart Guesthouse-Bear watching at it's best!,1,5,55.93788,-129.99533
Cottage at the Pool Side Retreat ,1,5,49.797783,-119.7102
North Vancouver 1 Bedroom Apartment ,1,5,49.313293,-123.08215
Beautiful Suite Rental in Sunny Surrey,1,5,49.13707,-122.818146
Waterfront guest house on Malaspina Straight,4,5,49.79589,-124.49295
Comfort and Joy ,1,5,53.918736,-122.762436
